org:resource_acc,Activity_acc,org:role_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
1.0,0.9675325155258179,0.9898989796638489,0.7563732862472534,0.9134199023246765,1.0,0.044733043760061264,0.009514689530161295,0.20891492610627954,11.19835739830424,0.009289564564824104,0.20880243182182312
0.9995189905166626,0.969215989112854,0.9918230175971985,0.7539682388305664,0.9456469416618347,1.0,0.044733043760061264,0.0050992530304938555,0.22360760244456204,11.044372664542276,0.004915549885481596,0.2234426587820053
0.9995189905166626,0.9593554735183716,0.9903799891471863,0.7544492483139038,0.9442039728164673,1.0,0.044733043760061264,0.007767531216483225,0.15248474343256516,11.081732489126312,0.007534729316830635,0.15237456560134888
0.9995189905166626,0.9680134654045105,0.9920635223388672,0.755892276763916,0.9545454978942871,1.0,0.044733043760061264,0.005443678618493405,0.12170921604741704,11.078899690362794,0.005268440581858158,0.12186191231012344
1.0,0.9672920107841492,0.993987500667572,0.7570948004722595,0.9386724829673767,1.0,0.044733043760061264,0.005872683938254009,0.06248784336176785,10.691468194508078,0.005704980809241533,0.06292887777090073
0.9995189905166626,0.9639250040054321,0.9915825128555298,0.7542087435722351,0.9297739267349243,1.0,0.044733043760061264,0.0058134127916260195,0.09861556982452219,10.918892261445183,0.00562920281663537,0.09870729595422745
0.9995189905166626,0.9711399674415588,0.9920635223388672,0.7580567598342896,0.9475709795951843,1.0,0.044733043760061264,0.005647909658199007,0.1313137337565422,10.78998660708947,0.005506834015250206,0.1311279982328415
0.9992785453796387,0.9713804721832275,0.9932659864425659,0.758537769317627,0.9473304748535156,1.0,0.044733043760061264,0.006280074996704405,0.05591361800378019,10.661478926014917,0.006133958697319031,0.055948205292224884
1.0,0.9668110013008118,0.9920635223388672,0.7539682388305664,0.9187109470367432,1.0,0.044733043760061264,0.0057279903610998936,0.12423714385791258,10.868360170586543,0.005578040610998869,0.12464401125907898
0.9995189905166626,0.9689754843711853,0.9843674898147583,0.7597402930259705,0.9434824585914612,1.0,0.044733043760061264,0.009548172185366804,0.07540063695474104,10.810994102619588,0.009452221915125847,0.07546455413103104
