org:resource_acc,Activity_acc,org:role_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9953211545944214,0.8119949102401733,0.8368779420852661,0.7526584267616272,0.8943002820014954,1.0,0.03998298570513725,0.00744648277759552,0.20565220036289908,12.313700748861514,0.007454202976077795,0.20622983574867249
0.9968098402023315,0.8124202489852905,0.8379412889480591,0.7526584267616272,0.8524032235145569,1.0,0.03998298570513725,0.006833933166820894,0.1206424974582412,12.239317077508366,0.006712574046105146,0.12106010317802429
0.9957464933395386,0.8122075796127319,0.8547426462173462,0.7526584267616272,0.926626980304718,1.0,0.03998298570513725,0.006364095956087112,0.13426136564124713,12.11807882396335,0.006230191793292761,0.13483458757400513
0.9970225095748901,0.8122075796127319,0.8368779420852661,0.7526584267616272,0.9096128940582275,1.0,0.03998298570513725,0.00747297289357944,0.05909263478084044,12.127488329075277,0.0074595180340111256,0.059476397931575775
0.9953211545944214,0.792428731918335,0.8545299768447876,0.7526584267616272,0.8879200220108032,1.0,0.03998298570513725,0.007274206135083328,0.12642356956546957,12.019588011232289,0.007092335261404514,0.1266787350177765
0.9957464933395386,0.8126329183578491,0.8575074076652527,0.7526584267616272,0.8900467753410339,1.0,0.03998298570513725,0.007972989443012259,0.09052740172906355,12.076912550721318,0.008007141761481762,0.09103481471538544
0.9970225095748901,0.8122075796127319,0.8566567301750183,0.7552105188369751,0.8845171928405762,1.0,0.03998298570513725,0.006476586811583151,0.15679927847602151,12.144702191760933,0.006358704995363951,0.15716664493083954
0.9957464933395386,0.8128455877304077,0.8383666276931763,0.7526584267616272,0.8921735286712646,1.0,0.03998298570513725,0.006292218808084726,0.10855654965747487,12.172406724357808,0.006142257712781429,0.10903686285018921
0.9985112547874451,0.8126329183578491,0.8347511887550354,0.7526584267616272,0.8913228511810303,1.0,0.03998298570513725,0.008285398087040945,0.0687031705271114,12.200885441154242,0.008249561302363873,0.06927283108234406
0.9982985854148865,0.8139089941978455,0.8368779420852661,0.7526584267616272,0.9351339936256409,1.0,0.03998298570513725,0.009442878463728861,0.10058406808159569,11.94509852398187,0.009534207172691822,0.1009008139371872
