org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9916778802871704,0.9212265014648438,0.9490986466407776,0.8110067248344421,0.8179144263267517,0.973046600818634,0.038687970489263535,0.018215256489136,0.28893058001995087,11.439355316317894,0.01837458461523056,0.2890920341014862
0.9809396266937256,0.9146180152893066,0.9628844857215881,0.7460402846336365,0.8788770437240601,0.9711408019065857,0.038687970489263535,0.006768992890349843,0.3463923145424236,11.617492988239974,0.006618225947022438,0.3462454378604889
0.9871141314506531,0.9320644736289978,0.965535581111908,0.8383892774581909,0.8390374779701233,0.9692350029945374,0.038687970489263535,0.008271698120304129,0.29938661781224335,11.408828893210739,0.008145316503942013,0.2997705042362213
0.9900671243667603,0.924927294254303,0.9692471623420715,0.805100679397583,0.7877005338668823,0.9735910892486572,0.03672553971409798,0.008250276134772734,0.284187529574741,11.643764375962995,0.008000829257071018,0.2836012840270996
0.9927517175674438,0.9392016530036926,0.975344717502594,0.800000011920929,0.8524064421653748,0.9793084859848022,0.03840762376785278,0.007501882119950923,0.2887918867848136,11.32776409916749,0.007430397439748049,0.28882458806037903
0.9761074185371399,0.938408613204956,0.964475154876709,0.8040268421173096,0.8590909242630005,0.9607950448989868,0.038687970489263535,0.007671553260562095,0.3045990494164554,11.341627503279597,0.007627757266163826,0.3036441206932068
0.9930201768875122,0.927570641040802,0.9708378314971924,0.7414765357971191,0.7898395657539368,0.9700517654418945,0.038687970489263535,0.006486861627887596,0.315837177363309,11.704613741741262,0.006399690173566341,0.3161924183368683
0.9860402941703796,0.9328574538230896,0.9671262502670288,0.7438926100730896,0.7743315696716309,0.9591614603996277,0.038687970489263535,0.006598819470541043,0.2790077951821414,11.351829389702868,0.006469013635069132,0.27836358547210693
0.9897986650466919,0.9291567206382751,0.9618239998817444,0.8171812295913696,0.8320855498313904,0.9776749610900879,0.038687970489263535,0.007999733937057581,0.27701807157559827,11.368698452176018,0.007900025695562363,0.276055246591568
0.9900671243667603,0.9209621548652649,0.9658007025718689,0.8209396004676819,0.845721960067749,0.9746801257133484,0.038687970489263535,0.006680229382420128,0.30574603514237836,11.503694593525408,0.006593635771423578,0.30557888746261597
