org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.999697744846344,0.92684406042099,0.9863966703414917,0.6717050075531006,0.8016929030418396,1.0,0.03174123540520668,0.012771141292019323,13.713905507867986,25.032110082027927,0.012701034545898438,13.742291450500488
0.999697744846344,0.9262394309043884,0.9854897260665894,0.775393009185791,0.8960096836090088,1.0,0.03174123540520668,0.007169748487120325,5.95734412019903,16.77364380437542,0.007165445014834404,5.983101844787598
0.9993954300880432,0.9238210916519165,0.9860943555831909,0.8406892418861389,0.8706167340278625,1.0,0.03174123540520668,0.01320104453374039,12.448202826760031,23.12952335893219,0.012953605502843857,12.45638656616211
1.0,0.9241233468055725,0.9854897260665894,0.576481282711029,0.8751511573791504,1.0,0.03174123540520668,0.008025103079324419,23.51419414173473,35.220191735245116,0.008055337704718113,23.608051300048828
0.999697744846344,0.9304715991020203,0.9860943555831909,0.7962515354156494,0.8712213039398193,1.0,0.03174123540520668,0.006677346812053161,7.840121789412065,18.721212507902898,0.006691174581646919,7.857525825500488
0.999697744846344,0.9289601445198059,0.9848851561546326,0.8545949459075928,0.876058042049408,1.0,0.03174123540520668,0.006859431170265783,8.797512487931685,19.31349587859586,0.006741369608789682,8.8291015625
0.999697744846344,0.9280532598495483,0.9854897260665894,0.8727328181266785,0.8866384625434875,1.0,0.03174123540520668,0.006748967253687707,10.496282490816983,20.998182193587787,0.006700912490487099,10.533201217651367
0.999697744846344,0.92684406042099,0.9854897260665894,0.8561064600944519,0.8778718709945679,1.0,0.03174123540520668,0.007990724026140842,11.606639515269887,22.27044145072895,0.007744555361568928,11.63956356048584
0.9990931153297424,0.9235187768936157,0.9854897260665894,0.7484885454177856,0.6314994096755981,1.0,0.03174123540520668,0.007580050436610525,19.58528163216331,31.252496102147482,0.007565689273178577,19.658727645874023
1.0,0.9235187768936157,0.9851874709129333,0.8606408834457397,0.8981257677078247,1.0,0.03174123540520668,0.0061395169151100245,2.4921117695895108,12.993742377370257,0.006008885335177183,2.4972920417785645
