org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9978732466697693,0.8122075796127319,0.8385792970657349,0.8613355755805969,0.9064227938652039,1.0,0.03998298570513725,0.006141333840787411,0.08065751601349223,11.46607928397134,0.005978737957775593,0.08112394064664841
0.9970225095748901,0.8139089941978455,0.8379412889480591,0.8560187220573425,0.8902594447135925,1.0,0.03998298570513725,0.006103569260713729,0.06932263008572838,11.235607640182769,0.0059121884405612946,0.06991694867610931
0.9985112547874451,0.8111441731452942,0.8343257904052734,0.8645257353782654,0.8917481899261475,1.0,0.03998298570513725,0.0065612369640307,0.0438257327133959,11.211938754147427,0.006439028773456812,0.04418926313519478
0.9972352385520935,0.8122075796127319,0.8558060526847839,0.863249659538269,0.8936622738838196,1.0,0.03998298570513725,0.008037561593069271,0.08979247442700646,11.151973424775695,0.008058780804276466,0.09007415920495987
0.9985112547874451,0.8136962652206421,0.8362398743629456,0.8353891968727112,0.875159502029419,1.0,0.03998298570513725,0.0065956087359650565,0.107147023759105,11.388571709267456,0.006476948037743568,0.10758436471223831
0.9972352385520935,0.8122075796127319,0.855380654335022,0.8702679872512817,0.918757975101471,1.0,0.03998298570513725,0.006610643668946895,0.10031661052595485,11.093226135412062,0.006539102178066969,0.1006762683391571
0.9970225095748901,0.8109315037727356,0.8560187220573425,0.8353891968727112,0.912803053855896,1.0,0.03998298570513725,0.009199433706023476,0.12492005527019501,11.443205149674958,0.009217205457389355,0.12522351741790771
0.9987239241600037,0.8126329183578491,0.8560187220573425,0.8585708141326904,0.9025946259498596,1.0,0.03998298570513725,0.00656124178997495,0.04141873646188866,11.157749440605668,0.006459510885179043,0.04180888459086418
0.9968098402023315,0.8122075796127319,0.8572947382926941,0.8715440034866333,0.9147171378135681,1.0,0.03998298570513725,0.007532029074024071,0.0878094190900976,11.202689359895885,0.0075140236876904964,0.08834659308195114
0.9970225095748901,0.8124202489852905,0.8387919664382935,0.7817949652671814,0.8866439461708069,1.0,0.03998298570513725,0.006470792969180779,0.053205261853608216,11.522021868393164,0.006380142644047737,0.053532231599092484
