Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6344647407531738,0.1318681389093399,0.9503916501998901,0.7519582509994507,0.652741551399231,0.8981723189353943,0.6594724655151367,0.9033942818641663,0.36553525924682617,0.8328981995582581,0.016704165376722813,16.411913418211043,0.014627157710492611
0.6057441234588623,0.11813186854124069,0.9007833003997803,0.7362924218177795,0.6605744361877441,0.8485639691352844,0.6546762585639954,0.8981723189353943,0.36814621090888977,0.8198433518409729,0.011855992022901773,16.76177732134238,0.011274968273937702
0.6292428374290466,0.12912088632583618,0.9582245349884033,0.7232376337051392,0.6109660863876343,0.877284586429596,0.6954436898231506,0.9295039176940918,0.40208879113197327,0.8146214485168457,0.028457663021981716,17.061752325855196,0.02548699826002121
0.6422976851463318,0.07967033237218857,0.9738903641700745,0.7441253662109375,0.6370757222175598,0.8981723189353943,0.7074340581893921,0.8955613970756531,0.30287206172943115,0.8067885041236877,0.018585901707410812,17.188571717590094,0.017518525943160057
0.6318538188934326,0.10439560562372208,0.939947783946991,0.7493472695350647,0.6292428374290466,0.8981723189353943,0.6690647602081299,0.8877284526824951,0.34203654527664185,0.7597911357879639,0.021296588703989983,16.95552938245237,0.018705759197473526
0.6344647407531738,0.08516483753919601,0.9582245349884033,0.7441253662109375,0.6292428374290466,0.8798955678939819,0.6498801112174988,0.9321148991584778,0.3159269094467163,0.7911227345466614,0.02868279628455639,17.189836157485843,0.026157598942518234
0.6214099526405334,0.13461539149284363,0.9608355164527893,0.7493472695350647,0.6579634547233582,0.8851175308227539,0.6906474828720093,0.9268929362297058,0.3994778096675873,0.8224543333053589,0.023009564727544785,16.27146289125085,0.020415015518665314
0.5744125247001648,0.13461539149284363,0.9347258806228638,0.7519582509994507,0.6396867036819458,0.9007833003997803,0.6978417634963989,0.9295039176940918,0.37075719237327576,0.8120104670524597,0.014485540799796581,16.281308005563915,0.011631428264081478
0.647519588470459,0.1538461595773697,0.9242820143699646,0.7493472695350647,0.6292428374290466,0.8851175308227539,0.688249409198761,0.8720626831054688,0.40992167592048645,0.7310705184936523,0.023916073143482208,16.19125235825777,0.02046666108071804
0.6005222201347351,0.09890110045671463,0.937336802482605,0.7597911357879639,0.652741551399231,0.9112271666526794,0.661870539188385,0.9268929362297058,0.3812010586261749,0.8407310843467712,0.0216107415035367,16.856919986195862,0.018382901325821877
