Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.692307710647583,0.1867469847202301,1.0,0.8106508851051331,0.7011834383010864,0.9289941191673279,0.7331606149673462,0.9733728170394897,0.43195265531539917,0.8786982297897339,0.01464699488133192,14.39289412042126,0.013719719834625721
0.692307710647583,0.15662649273872375,0.9437869787216187,0.8639053106307983,0.7218934893608093,0.9408284425735474,0.7202072143554688,0.9733728170394897,0.39349111914634705,0.8520710468292236,0.011151371523737907,14.782603999599814,0.010091117583215237
0.7218934893608093,0.15060240030288696,1.0,0.8165680766105652,0.692307710647583,0.9467455744743347,0.7668393850326538,0.9822485446929932,0.4467455744743347,0.8550295829772949,0.022703330032527447,14.545967773301527,0.02024194411933422
0.692307710647583,0.14156626164913177,1.0,0.8520710468292236,0.7071006298065186,0.9437869787216187,0.7772020697593689,0.9733728170394897,0.37278106808662415,0.8698225021362305,0.019393051974475384,15.225392595399171,0.017270095646381378
0.668639063835144,0.1265060156583786,1.0,0.7721893787384033,0.6479290127754211,0.9556213021278381,0.7409326434135437,0.9792899489402771,0.38461539149284363,0.8284024000167847,0.016770907677710056,15.228758958633989,0.015084266662597656
0.6804733872413635,0.07831324636936188,1.0,0.8372781276702881,0.6479290127754211,0.9230769276618958,0.7305699586868286,0.9585798978805542,0.37278106808662415,0.8491124510765076,0.035925108939409256,15.20790000737179,0.030555225908756256
0.6331360936164856,0.1927710771560669,1.0,0.8402367234230042,0.6775147914886475,0.9378698468208313,0.7409326434135437,0.9733728170394897,0.46449705958366394,0.8550295829772949,0.01960394997149706,14.301823887304636,0.016188830137252808
0.5532544255256653,0.1927710771560669,1.0,0.8402367234230042,0.6715976595878601,0.9349112510681152,0.7538859844207764,0.9792899489402771,0.4704142212867737,0.8727810978889465,0.01596101140603423,14.957056593964808,0.011396574787795544
0.7071006298065186,0.17168673872947693,1.0,0.8431952595710754,0.7130177617073059,0.9378698468208313,0.7616580128669739,0.9792899489402771,0.5059171915054321,0.8786982297897339,0.0200565573759377,13.536246301373467,0.016087371855974197
0.6360946893692017,0.12048192322254181,1.0,0.8106508851051331,0.7100591659545898,0.9467455744743347,0.7305699586868286,0.9733728170394897,0.4615384638309479,0.88165682554245,0.019533473998308182,15.49878700147383,0.016417941078543663
