Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6894964575767517,1.0,0.9971923232078552,0.014011694247050113,1.0058548329489942,0.014372420497238636
0.6871950626373291,1.0,0.9982049465179443,0.014546554989034408,1.0081123479972838,0.014912793412804604
0.6894964575767517,1.0,0.9975605607032776,0.014001919508078381,0.9854717506647208,0.014359342865645885
0.7094725370407104,1.0,0.9977446794509888,0.013981333792846846,0.9668584848129141,0.014335823245346546
0.68544602394104,1.0,0.9980668425559998,0.01398824617315672,0.9696507099387849,0.014348726719617844
0.6920279860496521,1.0,0.9982509613037109,0.014040839184369696,0.9755090312453256,0.01440381444990635
0.6865046620368958,1.0,0.9979287981987,0.01471970306317273,1.0321302108518706,0.015067452564835548
0.6876553893089294,1.0,0.9982509613037109,0.015473531822575942,1.0037216227042096,0.015844935551285744
0.6939612030982971,1.0,0.9979287981987,0.014321907815572462,0.9877698053927528,0.014688389375805855
0.7044554948806763,1.0,0.997514545917511,0.013957660381780252,0.9621851237836956,0.01431671716272831
