Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.4961644411087036,0.902876079082489,0.7055007219314575,0.018951985121116434,2.8273170050417415,0.019331898540258408
0.48992446064949036,0.9095526337623596,0.7087735533714294,0.018880736554580693,2.8451542131615017,0.019253963604569435
0.4991985559463501,0.9046450853347778,0.7163528203964233,0.018801892648058895,2.7962570166717726,0.019181087613105774
0.502518892288208,0.9023624658584595,0.7118741273880005,0.0188301764551158,2.811181109018722,0.019208388403058052
0.5042363405227661,0.9087536931037903,0.6999310851097107,0.01892420116468872,2.8380114339708693,0.01930641569197178
0.49977102875709534,0.9062999486923218,0.7084864377975464,0.018803194716670794,2.815995332601137,0.019178884103894234
0.4934737980365753,0.9023054242134094,0.709462583065033,0.0188320783628641,2.824359321145733,0.019212020561099052
0.5019464492797852,0.9100661873817444,0.7029168605804443,0.018948108398992764,2.824808633298074,0.01933109574019909
0.49736663699150085,0.9022483229637146,0.7110128998756409,0.018833582283389803,2.822246715371301,0.019211165606975555
0.500858724117279,0.9082401394844055,0.7021130323410034,0.01911807290621494,2.8216914953663945,0.01950150914490223
