Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7577325701713562,1.0,0.9972600936889648,0.014392752356606683,0.7303902423039912,0.014853972010314465
0.7559059858322144,1.0,0.9982951879501343,0.014970371983700284,0.7407715056546486,0.015432465821504593
0.76631760597229,1.0,0.9982951879501343,0.014375450585870758,0.7097925953804454,0.014832700602710247
0.7703360915184021,1.0,0.9982951879501343,0.014359051392315641,0.6950879247336783,0.01481345109641552
0.7699707746505737,1.0,0.9982951879501343,0.014367608396385453,0.6953927805458845,0.014827814884483814
0.7804432511329651,1.0,0.9982951879501343,0.014455795667967513,0.6975384537769347,0.014917274937033653
0.7501217722892761,1.0,0.9972600936889648,0.015234216361453659,0.7679218644556577,0.015683604404330254
0.7604116201400757,1.0,0.9982951879501343,0.01609454889120044,0.7329992449162283,0.016564128920435905
0.7753896713256836,1.0,0.9982951879501343,0.014808276894894478,0.708528816970341,0.015276492573320866
0.7758767604827881,1.0,0.9982951879501343,0.014309825657523777,0.6858068549642523,0.014767974615097046
