Activity_acc,REPAIR_IN_TIME_5D_acc,DEVICETYPE_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6112695336341858,0.9882513880729675,0.945591390132904,0.015086312490319343,1.45985947579366,0.015266187489032745
0.6111554503440857,0.9877381324768066,0.9396600723266602,0.015476535393023178,1.4690828390762602,0.015661459416151047
0.6144633293151855,0.9882513880729675,0.943652331829071,0.015063795132415467,1.4471077160407348,0.015237760730087757
0.6088171601295471,0.9882513880729675,0.9437093734741211,0.01518321932465034,1.4537682992859597,0.015352999791502953
0.6215353012084961,0.9882513880729675,0.9386905431747437,0.015054864055281015,1.4304801604379656,0.01523187942802906
0.6241587996482849,0.9843161702156067,0.9408007264137268,0.015014531832237384,1.4181241249040653,0.015195676125586033
0.6081327795982361,0.9877381324768066,0.9371506571769714,0.015951808113114613,1.4870760451242524,0.01611306145787239
0.613493800163269,0.9868255853652954,0.9404014945030212,0.016207405041266037,1.4725854606306377,0.016400577500462532
0.6166875958442688,0.9882513880729675,0.9382913112640381,0.015250259048403486,1.4543426879130206,0.015436314046382904
0.6236454844474792,0.9882513880729675,0.9377210140228271,0.01501306400658857,1.4318491980176125,0.015187197364866734
