Activity_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5054751038551331,0.7076537013053894,0.8280901908874512,0.015224260437351308,3.0877319265671663,0.015407429076731205
0.5009124875068665,0.7123303413391113,0.8332728743553162,0.01513318063715767,3.087918862436996,0.015310036018490791
0.5022242665290833,0.7095927596092224,0.8252396583557129,0.015291874830022846,3.0787835471074736,0.015477736480534077
0.5024523735046387,0.7000114321708679,0.833324670791626,0.015180797340642465,3.084125430347692,0.015364009886980057
0.5042203664779663,0.6994981169700623,0.8328582644462585,0.01530015384655838,3.091049269570871,0.015486132353544235
0.5030797123908997,0.7109045386314392,0.8232702612876892,0.015131554198696426,3.0824244734831154,0.015313081443309784
0.5025664567947388,0.7037184834480286,0.8333765268325806,0.01510624155573743,3.077722218077581,0.015282910317182541
0.5019960999488831,0.7266453504562378,0.8332728743553162,0.015198308490461818,3.0314658355813378,0.015365640632808208
0.5024523735046387,0.7075396180152893,0.832650899887085,0.015079310580499862,3.070628258473191,0.015249546617269516
0.504733681678772,0.7022356390953064,0.8153925538063049,0.01519402820543435,3.094131988503872,0.015376977622509003
