Activity_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.6557705998420715,0.9398828744888306,0.9610925316810608,0.018776558511155218,1.4630920196589279,0.01915452629327774
0.6501030921936035,0.9445337653160095,0.961458146572113,0.01889017010475264,1.4649269059484236,0.019267037510871887
0.6507900357246399,0.9385048151016235,0.9581157565116882,0.01887686730754611,1.4882425534857535,0.019249454140663147
0.6539386510848999,0.9441318511962891,0.9602047204971313,0.01980385946502027,1.4686004927038754,0.020159844309091568
0.6525647044181824,0.945222795009613,0.9592124819755554,0.019235839411665342,1.4699932576316457,0.019619060680270195
0.6397985219955444,0.9425815343856812,0.9599435925483704,0.01898081374575237,1.499882329739385,0.019359547644853592
0.6537096500396729,0.9470027685165405,0.9595780372619629,0.019093606186001318,1.4494421983591135,0.019458843395113945
0.6538814306259155,0.9440169930458069,0.9548777937889099,0.019154661040949195,1.4623852825576538,0.019534654915332794
0.6523929834365845,0.9403422474861145,0.9575935006141663,0.01891522607030837,1.4571504023073143,0.019285155460238457
0.6469544768333435,0.940284788608551,0.9582201838493347,0.018995077539186337,1.4759814983760742,0.019363882020115852
