Activity_acc,DEVICETYPE_acc,org:resource_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7401731014251709,0.9979287981987,0.9997830986976624,0.014285867488452871,0.924421842620512,0.014650741592049599
0.7408635020256042,0.9980208277702332,0.9996095299720764,0.014269784950700245,0.9330133084011706,0.0146328741684556
0.7432109117507935,0.9977446794509888,0.9997830986976624,0.01426780809599318,0.9077440273065708,0.014629772864282131
0.7432569265365601,0.9982049465179443,0.9996963143348694,0.015013217484872592,0.9078305524063149,0.015356133691966534
0.7430267930030823,0.9980668425559998,0.9996963143348694,0.014739325747972256,0.9198842734269994,0.015112755820155144
0.727009117603302,0.9979287981987,0.9997397065162659,0.01423136987968495,0.9576153286585682,0.014594998210668564
0.7392985820770264,0.9982509613037109,0.9997397065162659,0.014355714916937837,0.9043236886285931,0.014712946489453316
0.7426586151123047,0.9981589317321777,0.9996095299720764,0.014764914644489946,0.9069680643611049,0.015136678703129292
0.7435791492462158,0.9971923232078552,0.9997397065162659,0.014307410468494422,0.9215807735454291,0.014666350558400154
0.7431648969650269,0.9981129169464111,0.9998264908790588,0.01434578313369696,0.9121167191586114,0.014697675593197346
