Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_(case) AMOUNT_REQ
0.8435373902320862,0.7034788131713867,0.8290277719497681,0.9801515340805054,0.012914175256377175,2.859374874315801,0.01289298664778471
0.8430637717247009,0.7080426812171936,0.8285972476005554,0.982132077217102,0.0026230845556017898,2.862522177553425,0.0026124792639166117
0.8477568030357361,0.7019718885421753,0.8304055333137512,0.9815723299980164,0.0027925893775231784,2.863582940960658,0.0027867855969816446
0.8416860103607178,0.6618013978004456,0.8282097578048706,0.9815723299980164,0.007378864922516402,3.070274904436831,0.007378494832664728
0.8354430198669434,0.6562042236328125,0.8339791297912598,0.9806681871414185,0.008567934900167443,3.077876396965058,0.008570553734898567
0.8450012803077698,0.6693791151046753,0.8386290669441223,0.9810556769371033,0.013089969754219055,3.053831224285421,0.013082467019557953
0.8327735662460327,0.6657194495201111,0.829716682434082,0.9810556769371033,0.0029544663792919544,3.0611832363841436,0.0029303955379873514
0.8304055333137512,0.7030052542686462,0.8275638818740845,0.9801515340805054,0.02110329678370839,2.9025405058193776,0.021107446402311325
0.8341513276100159,0.6550847887992859,0.8273486495018005,0.9801515340805054,0.013669032248712722,3.11884540922585,0.013654062524437904
0.8331180214881897,0.6497029066085815,0.8373804688453674,0.9806251525878906,0.0026311205389599004,3.067879378241265,0.0026269173249602318
