Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_(case) AMOUNT_REQ
0.7783193588256836,0.6525630354881287,0.794075608253479,0.8896218538284302,0.09474964759179524,3.629578518370787,0.09382766485214233
0.7739495635032654,0.6376050710678101,0.7917227149009705,0.8879411816596985,0.09608404622191474,3.7284544897930965,0.09522929042577744
0.7835294008255005,0.6480672359466553,0.800504207611084,0.8918067216873169,0.07682392497857411,3.5756898799112866,0.07602039724588394
0.7892436981201172,0.654915988445282,0.802899181842804,0.8920588493347168,0.08362873129191853,3.5777448438817547,0.08269695192575455
0.7829411625862122,0.6386554837226868,0.799243688583374,0.8907142877578735,0.06902096651139714,3.647472624090456,0.06789342314004898
0.7765966653823853,0.6506722569465637,0.8001680970191956,0.8849579691886902,0.07843321632771265,3.624709107336544,0.07756451517343521
0.7798319458961487,0.652647078037262,0.8009243607521057,0.8915546536445618,0.08543208844604946,3.6015486642718315,0.08448798954486847
0.7705461978912354,0.6365545988082886,0.7939075827598572,0.8895798325538635,0.08270790055394173,3.710351139484417,0.08178234845399857
0.7794958353042603,0.6399999856948853,0.8025630116462708,0.8931092619895935,0.08950408299763997,3.6084236793574833,0.08851464092731476
0.7858823537826538,0.6527311205863953,0.801638662815094,0.8929411768913269,0.0741344786116055,3.5614083632826805,0.07324967533349991
