Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_(case) AMOUNT_REQ
0.789719820022583,0.6795169115066528,0.7710544466972351,0.9493310451507568,0.09217422561986106,3.1434451923483895,0.09047122299671173
0.7814241051673889,0.6837053894996643,0.7771949172019958,0.9493716955184937,0.08606888424782526,3.128754647005172,0.08436690270900726
0.7952096462249756,0.6784189343452454,0.7675979137420654,0.9493716955184937,0.08260119227426392,3.1492854897819815,0.08082687854766846
0.7889878153800964,0.6416575312614441,0.775324285030365,0.9493716955184937,0.08819462429909479,3.3311093793738458,0.08648959547281265
0.7715017795562744,0.6386889219284058,0.7765035629272461,0.9493716955184937,0.08951007929586229,3.3136847423655644,0.08782977610826492
0.7867105603218079,0.6500345468521118,0.7841893434524536,0.9493310451507568,0.091885364481381,3.3142861333631335,0.09020036458969116
0.7758936285972595,0.6460493803024292,0.7778048515319824,0.9493310451507568,0.08327465486668405,3.300711538642645,0.08150458335876465
0.7802854776382446,0.6798015236854553,0.7671505808830261,0.9493310451507568,0.09945746724094663,3.175768710318066,0.0977754145860672
0.780082106590271,0.6351103782653809,0.7684518694877625,0.9493310451507568,0.09332101792097092,3.355076769987742,0.09160462021827698
0.7642226815223694,0.6314098834991455,0.7732503414154053,0.9489650726318359,0.08525290162790389,3.3641335048845837,0.08357939124107361
