Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_(case) AMOUNT_REQ
0.8975430727005005,0.724345862865448,0.8909381031990051,0.9543713927268982,0.03157389039794604,2.5368349071414698,0.03134053200483322
0.9027441143989563,0.7118698358535767,0.8900765776634216,0.9532546401023865,0.020847141476614133,2.6105322381038043,0.02066757157444954
0.9057753682136536,0.7226547598838806,0.8961710333824158,0.961295485496521,0.015417503769553843,2.4908912589418746,0.01526521798223257
0.9043394923210144,0.7257817387580872,0.8997766375541687,0.9619336128234863,0.01415450977427619,2.4938160709681965,0.0139399329200387
0.8980855345726013,0.7129865884780884,0.8904913663864136,0.9587109088897705,0.021364825910755565,2.5779875191372064,0.021280616521835327
0.8912890553474426,0.7257179021835327,0.8946075439453125,0.9524888396263123,0.02913309731298969,2.554619976363721,0.029092300683259964
0.9037332534790039,0.7269942760467529,0.8921505808830261,0.9601786732673645,0.032661832336868556,2.527305325404519,0.03255733847618103
0.8897255659103394,0.7140714526176453,0.8892788887023926,0.9563497304916382,0.02587659710219928,2.6071144244855358,0.025760836899280548
0.8999999761581421,0.7140714526176453,0.8926611542701721,0.9608487486839294,0.02422262763693219,2.5390107447192785,0.024109357967972755
0.9032865166664124,0.7341097593307495,0.9043713808059692,0.962763249874115,0.014326929292153744,2.474780137295879,0.014140688814222813
