Activity_acc,org:resource_acc,impact_acc,concept:name_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5665796399116516,0.05219780281186104,0.7963446378707886,0.6370757222175598,0.7336814999580383,0.4940048158168793,0.7180156707763672,0.10079575330018997,0.23237597942352295,0.7336814999580383,0.013423148542642593,24.15167135372758,0.013554513454437256
0.5822454690933228,0.030219780281186104,0.7963446378707886,0.6344647407531738,0.7754569053649902,0.47482016682624817,0.8120104670524597,0.0954907163977623,0.22976501286029816,0.7441253662109375,0.028361794538795948,24.09232270438224,0.029108747839927673
0.58746737241745,0.06593406945466995,0.8067885041236877,0.6292428374290466,0.8250653147697449,0.5227817893028259,0.8146214485168457,0.15649867057800293,0.2793733775615692,0.7362924218177795,0.01752819772809744,23.483290693722665,0.01808757707476616
0.6083551049232483,0.032967034727334976,0.7963446378707886,0.6553524732589722,0.8224543333053589,0.5299760103225708,0.8120104670524597,0.14323607087135315,0.23237597942352295,0.7284595370292664,0.023920699022710323,23.367852373979986,0.024797111749649048
0.6083551049232483,0.049450550228357315,0.7963446378707886,0.6631854176521301,0.7963446378707886,0.5227817893028259,0.7180156707763672,0.09814323484897614,0.23759791254997253,0.7258485555648804,0.016735213808715343,24.175122219137847,0.01754814013838768
0.6135770082473755,0.049450550228357315,0.7963446378707886,0.650130569934845,0.6892950534820557,0.5203837156295776,0.8120104670524597,0.14323607087135315,0.219321146607399,0.7336814999580383,0.020446032285690308,24.14903113245964,0.020650651305913925
0.58746737241745,0.030219780281186104,0.7963446378707886,0.6344647407531738,0.8172323703765869,0.5179856419563293,0.770235002040863,0.029177717864513397,0.01827676221728325,0.7362924218177795,0.01994473487138748,24.963095985352993,0.020398391410708427
0.5691906213760376,0.06318681687116623,0.7963446378707886,0.6240208745002747,0.7232376337051392,0.5395683646202087,0.7336814999580383,0.14058354496955872,0.23237597942352295,0.71279376745224,0.024111086502671242,23.941520566120744,0.02529734931886196
0.6135770082473755,0.04670329764485359,0.7780678868293762,0.6579634547233582,0.704960823059082,0.515587568283081,0.647519588470459,0.08488063514232635,0.23237597942352295,0.7415143847465515,0.019715333357453346,23.841446245089173,0.020791323855519295
0.6005222201347351,0.02747252769768238,0.8015666007995605,0.6553524732589722,0.6814621686935425,0.5107913613319397,0.7232376337051392,0.11140583455562592,0.23237597942352295,0.7336814999580383,0.02899439912289381,24.14234327059239,0.030523153021931648
