Activity_acc,org:resource_acc,impact_acc,concept:name_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5295857787132263,0.11746987700462341,1.0,0.5443786978721619,0.9378698468208313,0.6865285038948059,0.9733728170394897,0.1721068173646927,0.4378698170185089,0.8402367234230042,0.01767120324075222,19.321363552473485,0.016246026381850243
0.5295857787132263,0.09337349236011505,1.0,0.5414201021194458,0.9230769276618958,0.6787564754486084,0.9733728170394897,0.1661721020936966,0.39349111914634705,0.8431952595710754,0.03267801273614168,19.501823272090405,0.030993983149528503
0.526627242565155,0.14457830786705017,1.0,0.5,0.9526627063751221,0.7357512712478638,0.9733728170394897,0.25816023349761963,0.47633135318756104,0.8550295829772949,0.021628357470035553,18.47594208177179,0.0200978871434927
0.5295857787132263,0.08433734625577927,1.0,0.5680473446846008,0.9437869787216187,0.7409326434135437,0.9733728170394897,0.2433234453201294,0.3994082808494568,0.8284024000167847,0.027472837828099728,18.610256399028003,0.026318630203604698
0.5295857787132263,0.08734939247369766,1.0,0.5680473446846008,0.9467455744743347,0.7357512712478638,0.9733728170394897,0.16913945972919464,0.39053255319595337,0.8461538553237915,0.023760585114359856,19.36477624066174,0.022892283275723457
0.5295857787132263,0.1265060156583786,1.0,0.5680473446846008,0.9526627063751221,0.7383419275283813,0.9733728170394897,0.24629080295562744,0.36982250213623047,0.8284024000167847,0.024481250904500484,19.02223509643227,0.02286742813885212
0.526627242565155,0.04518072307109833,1.0,0.5414201021194458,0.9526627063751221,0.7202072143554688,0.9733728170394897,0.06528189778327942,0.020710058510303497,0.8254438042640686,0.02777143195271492,21.072926150169224,0.026457447558641434
0.5295857787132263,0.13554216921329498,1.0,0.5207100510597229,0.9585798978805542,0.7668393850326538,0.9733728170394897,0.26706230640411377,0.40236687660217285,0.7958580255508423,0.029260125011205673,18.53259129403159,0.027731314301490784
0.5295857787132263,0.1265060156583786,1.0,0.5680473446846008,0.9556213021278381,0.7461139559745789,0.9733728170394897,0.17804154753684998,0.4082840383052826,0.831360936164856,0.02481248788535595,18.183765958528966,0.02357102371752262
0.526627242565155,0.048192769289016724,1.0,0.5443786978721619,0.9526627063751221,0.7227979302406311,0.9733728170394897,0.2433234453201294,0.38165679574012756,0.8402367234230042,0.03358413092792034,19.253297814168036,0.0321538932621479
