org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,case:RequestedAmount_mae,AVG_total_loss,MAE_case:RequestedAmount
0.9586577415466309,0.8141686320304871,0.9069459438323975,0.38577181100845337,0.7584527730941772,0.39411765336990356,0.9101552367210388,0.038687970489263535,94.15729626742277,110.909332415597,94.01425170898438
0.9350335597991943,0.7264075875282288,0.8398727774620056,0.2370469868183136,0.7584527730941772,0.47192513942718506,0.9008984565734863,0.038687970489263535,110.11667771772905,127.66498522189531,110.20774841308594
0.9640268683433533,0.7996298670768738,0.8592259287834167,0.30013424158096313,0.7584527730941772,0.30534759163856506,0.9172338843345642,0.038687970489263535,107.88765508478338,124.9097859527577,107.7713623046875
0.9538255333900452,0.792492687702179,0.8852068185806274,0.5095301866531372,0.7592642307281494,0.5334224700927734,0.9172338843345642,0.038687970489263535,92.60829682783647,108.41637063771486,92.39966583251953
0.9723489880561829,0.8088818192481995,0.8894486427307129,0.26604026556015015,0.7584527730941772,0.5072192549705505,0.9172338843345642,0.038687970489263535,92.87179946899414,108.9834848225794,92.64335632324219
0.939060389995575,0.7975151538848877,0.8976670503616333,0.39060401916503906,0.7592642307281494,0.5529412031173706,0.8178600668907166,0.038687970489263535,103.51483535766602,119.52197905358943,103.46819305419922
0.9715436697006226,0.8115252256393433,0.8857370615005493,0.3038926124572754,0.7584527730941772,0.5446524024009705,0.8968146443367004,0.038687970489263535,94.86395263671875,110.82518646121025,94.77057647705078
0.9559731483459473,0.7837694883346558,0.8857370615005493,0.47302013635635376,0.7584527730941772,0.561229944229126,0.6790090203285217,0.038687970489263535,91.84963538429953,108.36692156642675,91.61981201171875
0.9736912846565247,0.8115252256393433,0.8873277306556702,0.47838926315307617,0.7584527730941772,0.5606951713562012,0.9172338843345642,0.038687970489263535,111.87096578424627,127.38299675590612,111.95880889892578
0.9240268468856812,0.7935500741004944,0.8650583624839783,0.26953020691871643,0.7584527730941772,0.24251337349414825,0.9136945605278015,0.038687970489263535,134.36434520374644,151.3545891019431,134.5384063720703
