org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,case:RequestedAmount_mae,AVG_total_loss,MAE_case:RequestedAmount
0.9997594952583313,0.8766233921051025,0.8879268765449524,0.4504569470882416,0.7539682388305664,0.4769119918346405,0.9215969443321228,0.044733043760061264,78.44737208973278,93.72384626536883,78.46986389160156
0.9997594952583313,0.722703218460083,0.8196248412132263,0.27441078424453735,0.7539682388305664,0.5798460841178894,0.9215969443321228,0.044733043760061264,80.65459095348011,96.69372594796799,80.66007232666016
0.9997594952583313,0.8179413080215454,0.8881673812866211,0.3658008873462677,0.7539682388305664,0.39249640703201294,0.9215969443321228,0.044733043760061264,90.82828417691317,106.67675301788205,90.88663482666016
0.9995189905166626,0.8751803636550903,0.8879268765449524,0.5824915766716003,0.7539682388305664,0.62193363904953,0.9215969443321228,0.044733043760061264,77.32535830411044,91.92924631640993,77.31556701660156
0.9997594952583313,0.8763828873634338,0.8881673812866211,0.341269850730896,0.7539682388305664,0.5740740895271301,0.9215969443321228,0.044733043760061264,80.52455624667081,95.45042484791271,80.52851867675781
0.9997594952583313,0.8766233921051025,0.8881673812866211,0.4932660162448883,0.7542087435722351,0.6452621817588806,0.9215969443321228,0.044733043760061264,77.78852150656961,92.38514127226716,77.81851196289062
0.9997594952583313,0.8751803636550903,0.8879268765449524,0.3874458968639374,0.7539682388305664,0.6248196363449097,0.9215969443321228,0.044733043760061264,76.30285921963778,91.0066444116052,76.31068420410156
0.9995189905166626,0.8766233921051025,0.8881673812866211,0.5507455468177795,0.7539682388305664,0.6534391641616821,0.7513227462768555,0.044733043760061264,75.85304884477095,90.53952759051357,75.83197021484375
0.9997594952583313,0.856661856174469,0.8879268765449524,0.5856180787086487,0.7539682388305664,0.630591630935669,0.9215969443321228,0.044733043760061264,90.20233917236328,104.58056892590089,90.31478881835938
0.9995189905166626,0.8564213514328003,0.8879268765449524,0.33597883582115173,0.7539682388305664,0.24795575439929962,0.9215969443321228,0.044733043760061264,102.59051166881214,118.3687031714415,102.7100830078125
