org:resource_acc,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,case:RequestedAmount_mae,AVG_total_loss,MAE_case:RequestedAmount
0.999697744846344,0.9304715991020203,0.9860943555831909,0.6030834317207336,0.75,0.7212817668914795,1.0,0.03174123540520668,7.24941873550415,20.890930055047978,7.277779579162598
0.999697744846344,0.7756953239440918,0.9830713868141174,0.3201330304145813,0.75,0.8295042514801025,1.0,0.03174123540520668,10.499169826507568,24.98626411210915,10.525794982910156
0.999697744846344,0.9229142069816589,0.9860943555831909,0.4682587683200836,0.75,0.5275090932846069,1.0,0.03174123540520668,25.417766831137918,39.89416278869083,25.479997634887695
0.9990931153297424,0.9244256615638733,0.9860943555831909,0.8155985474586487,0.7515115141868591,0.8681983351707458,1.0,0.03174123540520668,5.248638369820335,18.041716156675566,5.257436752319336
0.999697744846344,0.92684406042099,0.9860943555831909,0.44347038865089417,0.75,0.826481282711029,1.0,0.03174123540520668,8.403630690141158,21.717847159513358,8.427340507507324
0.999697744846344,0.9289601445198059,0.9860943555831909,0.6834945678710938,0.7515115141868591,0.8884522914886475,1.0,0.03174123540520668,6.9116175174713135,19.671532030132685,6.939781665802002
0.999697744846344,0.9235187768936157,0.9854897260665894,0.521765410900116,0.75,0.8778718709945679,1.0,0.03174123540520668,4.87763727794994,17.997046896679834,4.8975324630737305
0.999697744846344,0.92684406042099,0.9863966703414917,0.7639057040214539,0.75,0.9274486303329468,1.0,0.03174123540520668,2.886326323856007,15.387134459885685,2.890383243560791
0.999697744846344,0.9259371757507324,0.9854897260665894,0.7950423359870911,0.75,0.8805925250053406,1.0,0.03174123540520668,27.72810493816029,40.187793965239756,27.854503631591797
0.9975816607475281,0.9226118922233582,0.9860943555831909,0.4371221363544464,0.75,0.30894801020622253,1.0,0.03174123540520668,44.21106251803312,58.901426658669315,44.37287521362305
