Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.5021834373474121,0.0436781607568264,1.0,0.5589519739151001,0.5021834373474121,0.9078947305679321,0.7383366823196411,0.2455752193927765,0.3951965272426605,0.7838428020477295,0.02013516891747713,20.811196466442198,0.019985869526863098
0.510917067527771,0.08505746722221375,1.0,0.5589519739151001,0.5065502524375916,0.9100877046585083,0.7221094965934753,0.16814158856868744,0.31659388542175293,0.7991266250610352,0.045702097937464714,21.2119852444157,0.04618537425994873
0.528384268283844,0.09195402264595032,1.0,0.5589519739151001,0.5305677056312561,0.9385964870452881,0.6288032531738281,0.04203539714217186,0.403930127620697,0.7620087265968323,0.032216254621744156,21.37180054374039,0.03288787230849266
0.5021834373474121,0.08965517580509186,1.0,0.5589519739151001,0.5305677056312561,0.9078947305679321,0.7139959335327148,0.18584071099758148,0.36899563670158386,0.7947598099708557,0.03646065481007099,21.161366823129356,0.036315228790044785
0.5240174531936646,0.13563218712806702,1.0,0.5589519739151001,0.5021834373474121,0.9342105388641357,0.720081090927124,0.22123894095420837,0.45414847135543823,0.7991266250610352,0.018240216188132763,20.313304575160146,0.018575238063931465
0.49563318490982056,0.08505746722221375,1.0,0.5589519739151001,0.5043668150901794,0.9210526347160339,0.7281947135925293,0.22345133125782013,0.375545859336853,0.7838428020477295,0.04289054125547409,20.803326944820583,0.04313521832227707
0.5262008905410767,0.08965517580509186,1.0,0.5589519739151001,0.5305677056312561,0.9342105388641357,0.703853964805603,0.07743363082408905,0.24672488868236542,0.7685589790344238,0.02654227614402771,22.215310657396913,0.026795968413352966
0.5305677056312561,0.09655172377824783,1.0,0.5589519739151001,0.5087336301803589,0.9035087823867798,0.7180527448654175,0.2654867172241211,0.36899563670158386,0.7838428020477295,0.02633682731539011,21.07482107076794,0.026397038251161575
0.5262008905410767,0.14482758939266205,1.0,0.5589519739151001,0.5065502524375916,0.9364035129547119,0.7139959335327148,0.20353981852531433,0.42576420307159424,0.8122270703315735,0.0316870016977191,19.912994627840817,0.031270477920770645
0.5262008905410767,0.0873563215136528,1.0,0.5458515286445618,0.5043668150901794,0.9342105388641357,0.7180527448654175,0.31194689869880676,0.42576420307159424,0.7925764322280884,0.025018569082021713,20.086382627487183,0.02547270432114601
