Activity_acc,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp
0.7923077344894409,0.11680911481380463,0.930232584476471,0.9056603312492371,0.8244680762290955,0.8505434989929199,0.5299760103225708,0.24064171314239502,0.2826666533946991,0.8005114793777466,0.011915747541934252,20.54929578723386,0.012180865742266178
0.7743589878082275,0.09686609357595444,0.9147287011146545,0.9164420366287231,0.8297871947288513,0.8369565606117249,0.5803357362747192,0.3342246115207672,0.36533331871032715,0.7135549783706665,0.02636846248060465,20.402533986605704,0.024458544328808784
0.7897436022758484,0.14814814925193787,0.9095607399940491,0.9326145052909851,0.8324467539787292,0.866847813129425,0.6235012412071228,0.29411765933036804,0.4346666634082794,0.7902812957763672,0.025972971692681313,19.7476468924433,0.020371319726109505
0.7769231200218201,0.054131053388118744,0.9147287011146545,0.8948786854743958,0.8297871947288513,0.883152186870575,0.5995203852653503,0.2192513346672058,0.3226666748523712,0.7570332288742065,0.02073674276471138,21.836931120604277,0.01846018247306347
0.7230769395828247,0.11965811997652054,0.9328165650367737,0.9056603312492371,0.7872340083122253,0.8722826242446899,0.5635491609573364,0.259358286857605,0.2693333327770233,0.7774935960769653,0.020920202136039734,21.300191938877106,0.01720268651843071
0.7487179636955261,0.11680911481380463,0.9043927788734436,0.8867924213409424,0.8031914830207825,0.8994565606117249,0.6019184589385986,0.2192513346672058,0.31200000643730164,0.7800511717796326,0.01861810963600874,19.190957020036876,0.013679517433047295
0.7794871926307678,0.10541310161352158,0.9354005455970764,0.9245283007621765,0.8271276354789734,0.8777174353599548,0.6043165326118469,0.25401070713996887,0.36800000071525574,0.7672634124755859,0.023355228826403618,20.102118691429496,0.02378769963979721
0.7743589878082275,0.1310541331768036,0.9018087983131409,0.8867924213409424,0.813829779624939,0.820652186870575,0.5539568662643433,0.2139037549495697,0.3199999928474426,0.7595908045768738,0.010319476015865803,21.745441277511418,0.011061063967645168
0.7435897588729858,0.10256410390138626,0.9224806427955627,0.849056601524353,0.7792552709579468,0.875,0.5395683646202087,0.23796792328357697,0.3253333270549774,0.7570332288742065,0.017612364143133163,20.845154900103807,0.015077651478350163
0.7615385055541992,0.08547008782625198,0.8888888955116272,0.865229070186615,0.792553186416626,0.8260869979858398,0.5803357362747192,0.27272728085517883,0.3386666774749756,0.7698209881782532,0.018309148959815502,20.507680143229663,0.016346173360943794
