org:resource_acc,Activity_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9755704998970032,0.8913560509681702,0.7591946721076965,0.7603461742401123,0.7815508246421814,0.9749523997306824,0.038687970489263535,0.008145124990154396,0.31529316170649097,13.33293147529052,0.008024178445339203,0.31445538997650146
0.9793288707733154,0.9056304097175598,0.8383892774581909,0.7608871459960938,0.8558823466300964,0.9700517654418945,0.038687970489263535,0.00672791132026098,0.27100260826674377,12.367256212259896,0.0066305482760071754,0.2706655263900757
0.9495302438735962,0.9106528759002686,0.8077852725982666,0.7627806067466736,0.8310160636901855,0.9907432794570923,0.038687970489263535,0.007296529259871353,0.28902505202726886,12.849587297151713,0.0071992590092122555,0.2884581685066223
0.9777181148529053,0.9273063540458679,0.8424161076545715,0.760616660118103,0.8598930835723877,0.9776749610900879,0.038687970489263535,0.005756382915106687,0.27595273473046045,12.362860298292203,0.005574917420744896,0.27578943967819214
0.9804027080535889,0.9283636808395386,0.8123490214347839,0.758723258972168,0.8473262190818787,0.9695072770118713,0.038687970489263535,0.006575473795898936,0.29197973148389295,12.903397023127498,0.0064055537804961205,0.29186776280403137
0.9715436697006226,0.9175257086753845,0.8206711411476135,0.7581822872161865,0.7989305257797241,0.9877484440803528,0.038687970489263535,0.008794072930785742,0.27589148012074555,12.983698684976183,0.008762616664171219,0.27524226903915405
0.9621476531028748,0.8900343179702759,0.8123490214347839,0.7608871459960938,0.8377005457878113,0.9814865589141846,0.038687970489263535,0.00946401779285886,0.2877670567144047,12.680460528301245,0.009449276141822338,0.2876419723033905
0.9809396266937256,0.9003435969352722,0.8204026818275452,0.7592642307281494,0.8299465179443359,0.9719575643539429,0.038687970489263535,0.007266850761053237,0.37364359335465863,12.719273573422635,0.007180940825492144,0.3729810416698456
0.9672483205795288,0.909859836101532,0.8147650957107544,0.7579118013381958,0.8120321035385132,0.9564388990402222,0.038687970489263535,0.0071738241240382195,0.30868124013597315,13.161632925356654,0.007002893835306168,0.30864307284355164
0.9830872416496277,0.9156753420829773,0.7973154783248901,0.7589937448501587,0.8671123385429382,0.9760414361953735,0.038687970489263535,0.008017846086824482,0.2760793539610776,12.639853183645755,0.007965696975588799,0.2756181061267853
