org:resource_acc,Activity_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
0.9499191641807556,0.8126009106636047,0.5374259352684021,0.752896785736084,0.6112008094787598,0.9189552664756775,0.04132695868611336,0.015816870907490902,0.48048856583508576,15.129654904827476,0.015554409474134445,0.478464275598526
0.9065697193145752,0.8152934312820435,0.6031233072280884,0.752896785736084,0.6273559331893921,0.9189552664756775,0.04132695868611336,0.005888971711762927,0.4762094156308608,15.12154584272172,0.0057488493621349335,0.4740513265132904
0.8664512038230896,0.7528271079063416,0.5040387511253357,0.7539746165275574,0.5753903985023499,0.9038771986961365,0.04132695868611336,0.005653670692647045,0.49571649865670636,15.750275488731198,0.005463029257953167,0.49352118372917175
0.946688175201416,0.8131394386291504,0.5651588439941406,0.7539746165275574,0.5665050745010376,0.9229940176010132,0.04132695868611336,0.006783811714161526,0.46142255718057806,15.482900823212482,0.006782863289117813,0.45861953496932983
0.9488421678543091,0.7864835262298584,0.5570812821388245,0.7542440891265869,0.6144318580627441,0.9229940176010132,0.04132695868611336,0.005946126322007992,0.46811660582369025,15.266892862739041,0.005774452816694975,0.46566149592399597
0.9518039226531982,0.801292359828949,0.5616585612297058,0.7534357309341431,0.5576198101043701,0.9038771986961365,0.04132695868611336,0.006792474749752067,0.47181259231133893,15.322279594034296,0.006653358694165945,0.4693469703197479
0.9089929461479187,0.787022054195404,0.5123855471611023,0.7539746165275574,0.5608507990837097,0.9189552664756775,0.04132695868611336,0.008056431035087868,0.5350703244859522,15.45887049799785,0.00803833082318306,0.5330584049224854
0.946688175201416,0.8066774010658264,0.5621970891952515,0.7537051439285278,0.6171243786811829,0.9189552664756775,0.04132695868611336,0.01654850234362212,0.4886043098839847,15.28913014263592,0.016283798962831497,0.4867808222770691
0.9528809189796448,0.8126009106636047,0.5048465132713318,0.7545135617256165,0.5856219530105591,0.9189552664756775,0.04132695868611336,0.005749016555703499,0.4960150122642517,15.417466907571493,0.00558655196800828,0.49372875690460205
0.9464188814163208,0.8015615940093994,0.5675820708274841,0.754783034324646,0.5726978778839111,0.9189552664756775,0.04132695868611336,0.005896525203504346,0.5008849528702822,15.428744602186436,0.005735845770686865,0.4983785152435303
