org:resource_acc,Activity_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount
1.0,0.9226118922233582,0.8412938714027405,0.75,0.9117291569709778,1.0,0.03174123540520668,0.01595609745180065,0.08206260204315186,12.023585915057497,0.01572401449084282,0.08241824805736542
0.9990931153297424,0.927146315574646,0.8799879550933838,0.75,0.9262394309043884,1.0,0.03174123540520668,0.006209456700492989,0.03829617171802304,11.785383346596394,0.0061254617758095264,0.03863544762134552
0.999697744846344,0.9229142069816589,0.8038089871406555,0.7521160840988159,0.8845223784446716,1.0,0.03174123540520668,0.005878342908214439,0.06560192053968256,12.27504367578182,0.005708459299057722,0.06619144231081009
0.999697744846344,0.9235187768936157,0.8198307156562805,0.7518138289451599,0.9277509450912476,1.0,0.03174123540520668,0.00665201238271865,0.07472303848374974,12.209887854246931,0.006675763055682182,0.0750725269317627
1.0,0.9223095774650574,0.8594316840171814,0.7524183988571167,0.9220072627067566,1.0,0.03174123540520668,0.006149351088838143,0.06697216257452965,12.014543438965285,0.00600117864087224,0.06701245158910751
1.0,0.9295647144317627,0.8376662731170654,0.7506046295166016,0.8627569675445557,1.0,0.03174123540520668,0.007148813583295454,0.05009844594381072,12.084547684443267,0.0070439730770885944,0.050253089517354965
1.0,0.9238210916519165,0.775393009185791,0.7518138289451599,0.8935913443565369,1.0,0.03174123540520668,0.006447948684746569,0.10357765785672447,12.070965780156918,0.006458889227360487,0.10375261306762695
0.999697744846344,0.9262394309043884,0.8555018305778503,0.7515115141868591,0.9280532598495483,1.0,0.03174123540520668,0.01659417643465779,0.09321441704576666,12.126533387525177,0.016362998634576797,0.09353674948215485
1.0,0.9262394309043884,0.8104594945907593,0.7533252835273743,0.8948004841804504,1.0,0.03174123540520668,0.005925219971686602,0.07667740908536044,12.164843150583858,0.00577591871842742,0.0769745483994484
1.0,0.9277509450912476,0.8654776811599731,0.7542321681976318,0.8951027989387512,1.0,0.03174123540520668,0.005959883205253969,0.1254483244635842,12.13438622513786,0.005797116551548243,0.12577106058597565
