excluded_feature,test_type,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount,org:resource_acc
org:resource,odd,0.9257255434989928,0.9857013642787932,0.7505441695451737,0.7500604629516602,0.8593712568283081,1.0,0.0317412354052066,0.0074310040101408,9.810254184766247,22.392898177577777,0.0073624471668154,9.839497923851011,
org:resource,even,0.8708994746208191,0.8877344846725463,0.5406926542520523,0.7540163397789001,0.6186147391796112,0.9215969443321228,0.0447330437600612,0.0068710555301301,80.50389002019708,94.91851517794105,0.0067411137744784,80.5245262145996,
org:resource,random,0.8119816601276397,0.8634625375270844,0.4950457483530044,0.7530045747756958,0.556058132648468,0.9089391112327576,0.0413269586861133,0.007179938443005,79.30063074285333,94.72142055175182,0.0070701975375413,77.60161666870117,
org:resource,window,0.8029774487018585,0.8485538065433502,0.7501701325178146,0.7527009606361389,0.8626754522323609,1.0,0.0399829857051372,0.007362412483516,12.718528721549294,25.904300953744148,0.0072393367066979,12.76034574508667,
org:resource,attr_level,0.8089875340461731,0.890800678730011,0.4695838928222656,0.7585339188575745,0.5342246145009995,0.9060441315174104,0.0386879704892635,0.007293748025867,95.11386857466265,110.65219013377688,0.0071931384969502,94.96611938476562,
Activity,odd,,0.9629383563995362,0.837545371055603,0.75,0.8770556449890137,1.0,0.0317412354052066,0.0086130232126875,9.864869046211243,21.99407617984848,0.0083792232908308,9.89844036102295,0.7763301193714142
Activity,even,,0.8337421953678131,0.5975950062274933,0.7539682388305664,0.628138542175293,0.9215969443321228,0.0447330437600612,0.0075000305448404,80.630145853216,94.72647537166168,0.0072399199940264,80.6533187866211,0.951130360364914
Activity,random,,0.839122188091278,0.5558158040046692,0.752896785736084,0.5879644215106964,0.918659085035324,0.0413269586861133,0.0079172681339762,78.8861887845126,93.60614061934704,0.0076746551319956,77.19293975830078,0.87358638048172
Activity,window,,0.8429817080497741,0.8365376353263855,0.7526584267616272,0.8855167865753174,1.0,0.0399829857051372,0.008868168044666,8.693255486271598,20.9544810498472,0.0085942924953997,8.716479730606078,0.9418970823287964
Activity,attr_level,,0.8417020559310913,0.5290201395750046,0.7584527730941772,0.5693583071231842,0.9174789249897004,0.0386879704892635,0.0080288476860997,94.73563343394886,109.6119615609292,0.0077941533178091,94.57114334106446,0.8704698145389557
org:role,odd,0.9253023266792296,,0.7192865997552872,0.7503325343132019,0.7077690601348877,1.0,0.0317412354052066,0.0070872476959431,9.191343155774202,22.13214075542055,0.0070109594613313,9.226610255241392,0.9996977329254152
org:role,even,0.857215017080307,,0.5163540244102478,0.7542808949947357,0.5074314624071121,0.9215969443321228,0.0447330437600612,0.006085025711747,79.87627442099831,94.41557841481514,0.0059552350547164,79.90156555175781,0.9994468510150908
