Activity_acc,org:resource_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.770588219165802,0.6521008610725403,0.8878151178359985,0.014076633157119864,0.09434206393503007,3.103356578209925,0.014082228764891624,0.09362884610891342
0.7828571796417236,0.6551260352134705,0.8934033513069153,0.014254834902073656,0.07884614825958297,3.0269697631842325,0.01428604032844305,0.07787509262561798
0.784453809261322,0.6477311253547668,0.8855462074279785,0.014214083153222288,0.07549239695072174,3.0477739604012597,0.014247426763176918,0.07456260174512863
0.7639915943145752,0.6352941393852234,0.8920588493347168,0.022208143380426225,0.07832023998101552,3.1557596175088767,0.02216552197933197,0.07739242166280746
0.7766807079315186,0.6404201984405518,0.8885294198989868,0.013099393629956813,0.07900723921401161,3.058067320668626,0.013088097795844078,0.07811436057090759
0.7617647051811218,0.6390336155891418,0.8910924196243286,0.015984644492467243,0.08076297545007297,3.1287082690922987,0.015974685549736023,0.07970843464136124
0.75567227602005,0.6484453678131104,0.8896638751029968,0.018384791555858794,0.08237058864462943,3.0928300635090897,0.018456894904375076,0.08143946528434753
0.7796638607978821,0.6409664154052734,0.8914285898208618,0.014063343893559207,0.06545984283799217,3.0624978997788967,0.014231542125344276,0.06457405537366867
0.7726891040802002,0.6489495635032654,0.8881092667579651,0.011209558163370405,0.08546442325626101,3.0777827753197577,0.011261684820055962,0.08450992405414581
0.7678991556167603,0.6387815475463867,0.8914706110954285,0.01335245809916939,0.0810539929994515,3.097784130656648,0.013405915349721909,0.08006203174591064
