Activity_acc,org:resource_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.7618234157562256,0.6715058088302612,0.9489650726318359,0.004923126527241298,0.09293125108593986,2.7195166647434235,0.004994461312890053,0.09114966541528702
0.7852872610092163,0.6567036509513855,0.9493310451507568,0.005569148653497298,0.0891746197428022,2.713392106572255,0.0056549967266619205,0.08748380094766617
0.7828880548477173,0.674759030342102,0.9493310451507568,0.005812677288694041,0.0886651784891174,2.660660870062808,0.005872848443686962,0.08698683232069016
0.7702411413192749,0.6571916341781616,0.9493310451507568,0.005312431648018814,0.08321031200743857,2.7084226576788795,0.005387587938457727,0.08146317303180695
0.7675979137420654,0.6863486766815186,0.949819028377533,0.005117026002456744,0.0880134009889194,2.590906704709466,0.005180092062801123,0.08625362813472748
0.7793501615524292,0.6676833033561707,0.9493716955184937,0.005734696341235013,0.08342679501289413,2.667675049775945,0.005789276212453842,0.08167703449726105
0.7837420105934143,0.6806555390357971,0.9493310451507568,0.0055466377885923495,0.0904659859481312,2.6619602248649157,0.00560862896963954,0.08870731294155121
0.7723963856697083,0.684762716293335,0.9493716955184937,0.005817153136290255,0.08420988598040172,2.6721071620870913,0.005889338441193104,0.08246758580207825
0.7723150849342346,0.6883412599563599,0.9493310451507568,0.004324021460931925,0.08629792822258812,2.608069464231708,0.004396258853375912,0.08457393199205399
0.7861005663871765,0.65068519115448,0.949819028377533,0.006496593378306855,0.09462843941790718,2.727646555596342,0.006587016396224499,0.09290660917758942
