Activity_acc,org:resource_acc,lifecycle:transition_acc,time:timestamp_mae,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_time:timestamp,MAE_(case) AMOUNT_REQ
0.89894700050354,0.7198149561882019,0.959572434425354,0.006935526528173969,0.03642914142637026,2.2910858940421823,0.006949978414922953,0.03626887500286102
0.8994256258010864,0.7224314212799072,0.9598596096038818,0.0072572628657023115,0.04413809361202376,2.2504212889997732,0.007302818354219198,0.04416924715042114
0.9018506407737732,0.7184428572654724,0.959827721118927,0.009132564156537964,0.012426233096491723,2.2319257403058663,0.009170744568109512,0.012220657430589199
0.8849074840545654,0.7003828883171082,0.9615507125854492,0.013889179653709843,0.04195948636957577,2.35067145362319,0.013857927173376083,0.04193109646439552
0.8919591307640076,0.713975727558136,0.9613912105560303,0.007547510233485983,0.02418474702253228,2.255942450725429,0.0075626065954566,0.0241532139480114
0.8832482695579529,0.7123803496360779,0.9580089449882507,0.007259285831380458,0.01388796472123691,2.2961520880372044,0.007261728402227163,0.0137728126719594
0.8813337683677673,0.7208998203277588,0.9603382349014282,0.017887968037809645,0.02270719267073132,2.2861842186678025,0.01795373484492302,0.02258697710931301
0.8931716680526733,0.715028703212738,0.9626036882400513,0.011197433053028016,0.009570455001223655,2.2710542905011346,0.011259237304329872,0.009423641487956047
0.8971920609474182,0.7131780385971069,0.9592852592468262,0.005854602348768995,0.05681997342478661,2.2984404842191863,0.005887853447347879,0.05680346488952637
0.8906828165054321,0.7058711051940918,0.959827721118927,0.006995122591477065,0.023144855119642756,2.2999927042983472,0.007013890892267227,0.02303316257894039
